monitoring;iterations;threads;run;time
no;1000;17;3;163551
yes;1000;17;3;163898
no;1000;17;4;163474
yes;1000;17;4;163898
no;10;7;0;796
yes;10;7;0;795
no;10;7;1;793
yes;10;7;1;795
no;10;7;2;794
yes;10;7;2;795
no;10;7;3;795
yes;10;7;3;794
no;10;7;4;794
yes;10;7;4;795
no;10;7;5;801
yes;10;7;5;821
no;10;7;6;819
yes;10;7;6;825
no;10;7;7;822
yes;10;7;7;827
no;10;7;8;819
yes;10;7;8;824
no;10;7;9;821
yes;10;7;9;825
no;10;7;10;823
yes;10;7;10;826
no;10;7;11;821
yes;10;7;11;827
no;10;7;12;822
yes;10;7;12;826
no;10;7;13;825
yes;10;7;13;829
no;10;7;14;821
yes;10;7;14;828
no;10;7;15;825
yes;10;7;15;829
no;10;7;16;825
yes;10;7;16;834
no;10;7;17;824
yes;10;7;17;828
no;10;7;18;829
yes;10;7;18;835
no;10;7;19;831
yes;10;7;19;835
no;10;7;20;835
yes;10;7;20;841
no;10;8;0;840
yes;10;8;0;848
no;10;8;1;846
yes;10;8;1;851
no;10;8;2;856
yes;10;8;2;863
no;10;8;3;854
yes;10;8;3;861
no;10;8;4;859
yes;10;8;4;863
no;10;8;5;861
yes;10;8;5;865
no;10;8;6;862
yes;10;8;6;868
no;10;8;7;865
yes;10;8;7;870
no;10;8;8;869
yes;10;8;8;873
no;10;8;9;871
yes;10;8;9;875
no;10;8;10;873
yes;10;8;10;875
no;10;8;11;874
yes;10;8;11;879
no;10;8;12;875
yes;10;8;12;878
no;10;8;13;878
yes;10;8;13;880
no;10;8;14;877
yes;10;8;14;884
no;10;8;15;880
yes;10;8;15;883
no;10;8;16;881
yes;10;8;16;884
no;10;8;17;883
yes;10;8;17;886
no;10;8;18;883
yes;10;8;18;887
no;10;8;19;887
yes;10;8;19;887
no;10;8;20;887
yes;10;8;20;891
no;10;9;0;909
yes;10;9;0;912
no;10;9;1;910
yes;10;9;1;914
no;10;9;2;911
yes;10;9;2;919
no;10;9;3;913
yes;10;9;3;919
no;10;9;4;916
yes;10;9;4;918
no;10;9;5;915
yes;10;9;5;919
no;10;9;6;915
yes;10;9;6;920
no;10;9;7;917
yes;10;9;7;922
no;10;9;8;916
yes;10;9;8;922
no;10;9;9;916
yes;10;9;9;923
no;10;9;10;918
yes;10;9;10;923
no;10;9;11;921
yes;10;9;11;923
no;10;9;12;921
yes;10;9;12;925
no;10;9;13;924
yes;10;9;13;926
no;10;9;14;923
yes;10;9;14;931
no;10;9;15;926
yes;10;9;15;928
no;10;9;16;922
yes;10;9;16;928
no;10;9;17;924
yes;10;9;17;928
no;10;9;18;926
yes;10;9;18;929
no;10;9;19;924
yes;10;9;19;930
no;10;9;20;925
yes;10;9;20;929
no;10;10;0;952
yes;10;10;0;959
no;10;10;1;955
yes;10;10;1;961
no;10;10;2;956
yes;10;10;2;962
no;10;10;3;955
yes;10;10;3;962
no;10;10;4;957
yes;10;10;4;964
no;10;10;5;958
yes;10;10;5;963
no;10;10;6;958
yes;10;10;6;965
no;10;10;7;957
yes;10;10;7;969
no;10;10;8;959
yes;10;10;8;964
no;10;10;9;960
yes;10;10;9;969
no;10;10;10;959
yes;10;10;10;968
no;10;10;11;960
yes;10;10;11;966
no;10;10;12;960
yes;10;10;12;968
no;10;10;13;962
yes;10;10;13;967
no;10;10;14;962
yes;10;10;14;967
no;10;10;15;961
yes;10;10;15;968
no;10;10;16;963
yes;10;10;16;971
no;10;10;17;963
yes;10;10;17;973
no;10;10;18;962
yes;10;10;18;972
no;10;10;19;962
yes;10;10;19;967
no;10;10;20;963
yes;10;10;20;969
no;10;11;0;968
yes;10;11;0;972
